Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
IPO8	"IMP8, RANBP8"	ENSG00000133704	"Importin 8"	O15397	12	30628988-30695869	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		"Aortic aneurysm, Disease variant"
NUP37	"FLJ22618, MGC5585"	ENSG00000075188	"Nucleoporin 37"	Q8NFH4	12	102073103-102120120	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Cell cycle, Cell division, Chromosome partition, Mitosis, mRNA transport, Protein transport, Translocation, Transport"		"Disease variant, Primary microcephaly"
AAAS		ENSG00000094914	"Aladin WD repeat nucleoporin"	Q9NRG9	12	53307456-53324864	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant"
FANCL	"FAAP43, FLJ10335, PHF9, Pog"	ENSG00000115392	"FA complementation group L"	Q9NW38	2	58159243-58241410	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"DNA damage, DNA repair, Ubl conjugation pathway"	Transferase	"Fanconi anemia"
RAD21L1	"dJ545L17.2, RAD21L"	ENSG00000244588	"RAD21 cohesin complex component like 1"	Q9H4I0	20	1226044-1296421	"Predicted intracellular proteins"	"Chromosome partition, Meiosis"		
CENPF	hcp-1	ENSG00000117724	"Centromere protein F"	P49454	1	214603185-214664574	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Differentiation, DNA synthesis, Mitosis, Myogenesis"	"Developmental protein"	"Cancer-related genes, Ciliopathy, Primary ciliary dyskinesia"
CETN2	"CALT, CEN2"	ENSG00000147400	"Centrin 2"	P41208	X	152826994-152830757	"Predicted intracellular proteins"	"Cell cycle, Cell division, DNA damage, DNA repair, Mitosis, mRNA transport, Protein transport, Translocation, Transport"		
CHMP2A	"BC-2, CHMP2, VPS2, VPS2A"	ENSG00000130724	"Charged multivesicular body protein 2A"	O43633	19	58551452-58555105	"Essential proteins, Predicted intracellular proteins"	"Host-virus interaction, Protein transport, Transport"		
PGRMC2	"DG6, PMBP"	ENSG00000164040	"Progesterone receptor membrane component 2"	O15173	4	128269237-128288829	"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"		Receptor	
LPIN1	KIAA0188	ENSG00000134324	"Lipin 1"	Q14693	2	11677595-11827409	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism, Transcription, Transcription regulation"	Hydrolase	
FAM169A	"KIAA0888, SLAP75"	ENSG00000198780	"Family with sequence similarity 169 member A"	Q9Y6X4	5	74777574-74866966	"Predicted intracellular proteins"			
RAE1	"Gle2, Mnrp41"	ENSG00000101146	"Ribonucleic acid export 1"	P78406	20	57351223-57379211	"Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Cell cycle, Cell division, Host-virus interaction, Mitosis, Transport"		
TNKS2	"ARTD6, PARP-5b, PARP-5c, PARP5B, PARP5C, pART6, TANK2, TNKL"	ENSG00000107854	"Tankyrase 2"	Q9H2K2	10	91798426-91865475	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Wnt signaling pathway"	"Glycosyltransferase, Nucleotidyltransferase, Transferase"	
ZMPSTE24	"FACE-1, HGPS, PRO1, STE24, Ste24p"	ENSG00000084073	"Zinc metallopeptidase STE24"	O75844	1	40258041-40294180	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"		"Antiviral protein, Hydrolase, Metalloprotease, Protease"	"Disease variant"
CLIC1	"CLCNL1, G6, NCC27, p64CLCP"	ENSG00000213719	"Chloride intracellular channel 1"	O00299	6	31730581-31739763	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Oxidoreductase, Voltage-gated channel"	"Cancer-related genes"
PLK1	PLK	ENSG00000166851	"Polo like kinase 1"	P53350	16	23677656-23690367	"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Potential drug targets, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes"
RBM15	"OTT, OTT1"	ENSG00000162775	"RNA binding motif protein 15"	Q96T37	1	110338506-110346681	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction"	RNA-binding	"Cancer-related genes, Proto-oncogene"
SIRT1	SIR2L1	ENSG00000096717	"Sirtuin 1"	Q96EB6	10	67884656-67918390	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Apoptosis, Biological rhythms, Differentiation, Host-virus interaction, Myogenesis, Transcription, Transcription regulation"	"Developmental protein, Transferase"	
BCLAF1	"BTF, KIAA0164"	ENSG00000029363	"BCL2 associated transcription factor 1"	Q9NYF8	6	136256627-136289851	"Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Cancer-related genes"
POLA1	"NSX, p180, POLA"	ENSG00000101868	"DNA polymerase alpha 1, catalytic subunit"	P09884	X	24693873-24996986	"Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"DNA replication, Host-virus interaction"	"DNA-binding, DNA-directed DNA polymerase, Nucleotidyltransferase, Transferase"	"Disease variant, Dwarfism, FDA approved drug targets, Intellectual disability"
BNIP3L	"BNIP3a, Nix"	ENSG00000104765	"BCL2 interacting protein 3 like"	O60238	8	26383054-26505636	"Cancer-related genes, Predicted membrane proteins, Transporters"	"Apoptosis, Host-virus interaction"		"Cancer-related genes"
CALR	"cC1qR, CRT, FLJ26680, RO, SSA"	ENSG00000179218	Calreticulin	P27797	19	12938578-12944489	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"		Chaperone	"Cancer-related genes"
CHMP4B	"C20orf178, dJ553F4.4, Shax1, SNF7-2, VPS32B"	ENSG00000101421	"Charged multivesicular body protein 4B"	Q9H444	20	33811348-33854366	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"	"Host-virus interaction, Protein transport, Transport"		"Cataract, Disease variant"
PLAAT3	"AdPLA, H-REV107-1, HRASLS3, HREV107, HREV107-3, MGC118754., PLA2G16, PLAAT-3"	ENSG00000176485	"Phospholipase A and acyltransferase 3"	P53816	11	63573195-63616883	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins"	"Host-virus interaction, Lipid degradation, Lipid metabolism"	"Hydrolase, Transferase"	"Disease variant"
TOR1AIP2	"IFRG15, LULL1, NET9"	ENSG00000169905	"Torsin 1A interacting protein 2"	"Q8NFQ8, Q9H496"	1	179839967-179877803	"Predicted intracellular proteins, Predicted membrane proteins"			
TREX1	"AGS1, DRN3"	ENSG00000213689	"Three prime repair exonuclease 1"	Q9NSU2	3	48465811-48467645	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"		"Exonuclease, Hydrolase, Nuclease"	"Aicardi-Goutieres syndrome, Disease variant, Neurodegeneration, Systemic lupus erythematosus"
LORICRIN	LOR	ENSG00000203782	"Loricrin cornified envelope precursor protein"	P23490	1	153259687-153262124	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	Keratinization		"Ichthyosis, Palmoplantar keratoderma"
PLPP6	"FLJ46512, FLJ90191, PDP1, PPAPDC2"	ENSG00000205808	"Phospholipid phosphatase 6"	Q8IY26	9	4662294-4665258	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Immunity, Innate immunity, Lipid metabolism"	"Hydrolase, Lyase"	
RANBP1	HTF9A	ENSG00000099901	"RAN binding protein 1"	P43487	22	20115938-20127355	"Essential proteins, Plasma proteins, Predicted intracellular proteins"		"GTPase activation"	
ATP1B4		ENSG00000101892	"ATPase Na+/K+ transporting family member beta 4"	Q9UN42	X	120362085-120383249	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Transcription, Transcription regulation"		
DMPK	"DM, DM1, DM1PK, DMK, MDPK, MT-PK"	ENSG00000104936	"DM1 protein kinase"	Q09013	19	45769709-45782552	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	Cataract
DNASE1	DNL1	ENSG00000213918	"Deoxyribonuclease 1"	P24855	16	3611728-3680143	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	Apoptosis	"Actin-binding, Endonuclease, Hydrolase, Nuclease"	"Systemic lupus erythematosus"
IFI27	"FAM14D, ISG12, P27"	ENSG00000165949	"Interferon alpha inducible protein 27"	P40305	14	94104836-94116695	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Antiviral defense, Apoptosis, Host-virus interaction, Immunity, Innate immunity, Transcription, Transcription regulation"		
INSR	CD220	ENSG00000171105	"Insulin receptor"	P06213	19	7112255-7294414	"CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins"	"Carbohydrate metabolism"	"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Diabetes mellitus, Disease variant, FDA approved drug targets"
IPO9	"FLJ10402, Imp9"	ENSG00000198700	"Importin 9"	Q96P70	1	201829149-201884291	"Essential proteins, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"	Chaperone	
MTMR6		ENSG00000139505	"Myotubularin related protein 6"	Q9Y217	13	25246222-25287510	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Endocytosis, Lipid metabolism"	Hydrolase	
MYOF	"FER1L3, KIAA1207"	ENSG00000138119	Myoferlin	Q9NZM1	10	93306429-93482334	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			
REEP3	"C10orf74, Yip2b"	ENSG00000165476	"Receptor accessory protein 3"	Q6NUK4	10	63521401-63625128	"Predicted membrane proteins"	"Cell cycle, Cell division, Mitosis"		
REEP4	"C8orf20, FLJ22246, FLJ22277, PP432, Yip2c"	ENSG00000168476	"Receptor accessory protein 4"	Q9H6H4	8	22138020-22141951	"Predicted membrane proteins"	"Cell cycle, Cell division, Mitosis"		
SIGMAR1	"OPRS1, SR-BP1"	ENSG00000147955	"Sigma non-opioid intracellular receptor 1"	Q99720	9	34634722-34637844	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Receptor	"Amyotrophic lateral sclerosis, Disease variant, FDA approved drug targets, Neurodegeneration, Neuropathy"
SREBF1	"bHLHd1, SREBP-1c, SREBP1, SREBP1a"	ENSG00000072310	"Sterol regulatory element binding transcription factor 1"	P36956	17	17810399-17837002	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Disease variant, Ichthyosis"
TNPO3	"IPO12, LGMD1F, MTR10A, TRN-SR, TRN-SR2"	ENSG00000064419	"Transportin 3"	Q9Y5L0	7	128954180-129055173	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"	"Protein transport, Transport"		"Disease variant, Limb-girdle muscular dystrophy"
WDFY3	"ALFY, KIAA0993, ZFYVE25"	ENSG00000163625	"WD repeat and FYVE domain containing 3"	Q8IZQ1	4	84668765-84966690	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	Autophagy	"Developmental protein"	"Disease variant, Primary microcephaly"
CDCA2	"PPP1R81, Repo-Man"	ENSG00000184661	"Cell division cycle associated 2"	Q69YH5	8	25459199-25507911	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"		
FAM156A	"PRO0659, TMEM29"	ENSG00000268350	"Family with sequence similarity 156 member A"	Q8NDB6	X	52926402-52995472	"Predicted intracellular proteins"			
FAM156B	TMEM29B	ENSG00000179304	"Family with sequence similarity 156 member B"	Q8NDB6	X	52891306-52908560	"Predicted intracellular proteins"			
TOR4A	"C9orf167, FLJ20245"	ENSG00000198113	"Torsin family 4 member A"	Q9NXH8	9	137277726-137282641	"Predicted intracellular proteins"			
HTATIP2	"CC3, FLJ26963, SDR44U1, TIP30"	ENSG00000109854	"HIV-1 Tat interactive protein 2"	Q9BUP3	11	20363685-20383782	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Host-virus interaction, Translation regulation"		"Tumor suppressor"
ITPR1	"ACV, Insp3r1, IP3R1, PPP1R94, SCA15, SCA16, SCA29"	ENSG00000150995	"Inositol 1,4,5-trisphosphate receptor type 1"	Q14643	3	4493345-4847506	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Apoptosis, Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Ligand-gated ion channel, Receptor"	"Disease variant, Intellectual disability, Neurodegeneration, Spinocerebellar ataxia"
PARP16	"ARTD15, C15orf30, FLJ20509, FLJ25281, pART15"	ENSG00000138617	"Poly(ADP-ribose) polymerase family member 16"	Q8N5Y8	15	65234460-65300618	"Metabolic proteins, Predicted membrane proteins"	"Unfolded protein response"	"Glycosyltransferase, Nucleotidyltransferase, Transferase"	
TMEM33	"FLJ10525, Pom33"	ENSG00000109133	"Transmembrane protein 33"	P57088	4	41935129-41960803	"Predicted membrane proteins, Transporters"	"Immunity, Innate immunity"		
XPO6	"FLJ22519, KIAA0370, RANBP20"	ENSG00000169180	"Exportin 6"	Q96QU8	16	28097976-28211965	"Metabolic proteins, Predicted intracellular proteins"	"Protein transport, Transport"		
C12orf43	"Custos, FLJ12448"	ENSG00000157895	"Chromosome 12 open reading frame 43"	Q96C57	12	121000486-121016502	"Predicted intracellular proteins"	"Wnt signaling pathway"	"Developmental protein"	
GOLT1A	"CGI-141, FLJ42654, GOT1, MGC62027, YMR292W"	ENSG00000174567	"Golgi transport 1A"	Q6ZVE7	1	204198163-204213988	"Predicted membrane proteins"	"Protein transport, Transport"		
LMNTD1	"FLJ36004, IFLTD1, Pas1c1"	ENSG00000152936	"Lamin tail domain containing 1"	Q8N9Z9	12	25409307-25648579	"Predicted intracellular proteins"			
MYC	"bHLHe39, c-Myc, MYCC"	ENSG00000136997	"MYC proto-oncogene, bHLH transcription factor"	P01106	8	127735434-127742951	"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes, Proto-oncogene"
OSBPL6	ORP6	ENSG00000079156	"Oxysterol binding protein like 6"	Q9BZF3	2	178194481-178402893	"Plasma proteins, Predicted intracellular proteins"	"Lipid transport, Transport"		
OTULINL	"FAM105A, FLJ11127, NET20"	ENSG00000145569	"OTU deubiquitinase with linear linkage specificity like"	Q9NUU6	5	14581792-14616180	"Enzymes, Predicted membrane proteins"			
PLPP7	"C9orf67, FLJ14662, MGC12921, NET39, PPAPDC3"	ENSG00000160539	"Phospholipid phosphatase 7 (inactive)"	Q8NBV4	9	131289459-131359022	"Predicted intracellular proteins, Predicted membrane proteins"			
PRKCZ	PKC2	ENSG00000067606	"Protein kinase C zeta"	Q05513	1	2050411-2185395	"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"	"Inflammatory response"	"Kinase, Serine/threonine-protein kinase, Transferase"	"FDA approved drug targets"
RNF180		ENSG00000164197	"Ring finger protein 180"	Q86T96	5	64165843-64372869	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Ubl conjugation pathway"	Transferase	
LCE6A	C1orf44	ENSG00000235942	"Late cornified envelope 6A"	A0A183	1	152842856-152843983	"Predicted intracellular proteins"	Keratinization		
S100A6	"2A9, CABP, CACY, PRA"	ENSG00000197956	"S100 calcium binding protein A6"	P06703	1	153534599-153536244	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"			"Cancer-related genes"
SMPD4	"FLJ20297, FLJ20756, KIAA1418, NET13, nSMase-3, NSMASE3"	ENSG00000136699	"Sphingomyelin phosphodiesterase 4"	Q9NXE4	2	130151392-130182750	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism"	Hydrolase	"Disease variant, Intellectual disability"
ALOX5AP	FLAP	ENSG00000132965	"Arachidonate 5-lipoxygenase activating protein"	P20292	13	30713478-30764426	"Disease related genes, Predicted membrane proteins"	"Leukotriene biosynthesis"		
IVL		ENSG00000163207	Involucrin	P07476	1	152908546-152911886	"Plasma proteins, Predicted intracellular proteins"	Keratinization		
RBM15B	"HUMAGCGB, OTT3"	ENSG00000259956	"RNA binding motif protein 15B"	Q8NDT2	3	51391285-51397908	"Predicted intracellular proteins"	"Host-virus interaction, mRNA processing, mRNA splicing, Transcription, Transcription regulation"	RNA-binding	
FBXW11	"BTRC2, BTRCP2, Fbw11, Fbw1b, FBXW1B, Hos, KIAA0696"	ENSG00000072803	"F-box and WD repeat domain containing 11"	Q9UKB1	5	171861549-172006873	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Biological rhythms, Cell cycle, Host-virus interaction, Ubl conjugation pathway, Wnt signaling pathway"		"Disease variant"
MAPK3	"ERK1, p44erk1, p44mapk, PRKM3"	ENSG00000102882	"Mitogen-activated protein kinase 3"	P27361	16	30114105-30123506	"Cancer-related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Apoptosis, Cell cycle, Host-virus interaction"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes, FDA approved drug targets"
BNIP3	"HABON, Nip3"	ENSG00000176171	"BCL2 interacting protein 3"	Q12983	10	131967684-131981967	"Cancer-related genes, Predicted membrane proteins, Transporters"	"Apoptosis, Host-virus interaction"		"Cancer-related genes"
ERV3-1	"envR, ERV-R, ERV3, H-PLK, HERV-R"	ENSG00000213462	"Endogenous retrovirus group 3 member 1, envelope"	Q14264	7	64990356-65006743	"Predicted intracellular proteins"			
SCEL	"FLJ21667, MGC22531"	ENSG00000136155	Sciellin	O95171	13	77535674-77645263	"Plasma proteins, Predicted intracellular proteins"			
TRPC7		ENSG00000069018	"Transient receptor potential cation channel subfamily C member 7"	Q9HCX4	5	136212745-136365545	"Predicted membrane proteins, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel"	
ATF6	ATF6A	ENSG00000118217	"Activating transcription factor 6"	P18850	1	161766298-161977574	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Transcription, Transcription regulation, Unfolded protein response"	"Activator, DNA-binding"	"Disease variant"
BICD2	KIAA0699	ENSG00000185963	"BICD cargo adaptor 2"	Q8TD16	9	92711363-92764833	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant, Neurodegeneration"
GMCL1	"BTBD13, FLJ13057, GCL1, SPATA29"	ENSG00000087338	"Germ cell-less 1, spermatogenesis associated"	Q96IK5	2	69829660-69881384	"Plasma proteins, Predicted intracellular proteins"	"Differentiation, Spermatogenesis"	"Developmental protein"	
HAX1	"HAX-1, HCLSBP1, HS1BP1"	ENSG00000143575	"HCLS1 associated protein X-1"	O00165	1	154272355-154275875	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Disease variant"
IPO11	RanBP11	ENSG00000086200	"Importin 11"	Q9UI26	5	62403972-62628582	"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		
RTN4	"ASY, KIAA0886, NOGO, NSP-CL"	ENSG00000115310	"Reticulon 4"	Q9NQC3	2	54972187-55112621	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	Neurogenesis		
SHISA5	"hShisa5, SCOTIN"	ENSG00000164054	"Shisa family member 5"	Q8N114	3	48467798-48504826	"Predicted intracellular proteins, Predicted membrane proteins"	Apoptosis		
UFD1	UFD1L	ENSG00000070010	"Ubiquitin recognition factor in ER associated degradation 1"	Q92890	22	19449911-19479202	"Essential proteins, Predicted intracellular proteins, Transporters"	"Ubl conjugation pathway"		
FAF1	"CGI-03, hFAF1, HFAF1s, UBXD12, UBXN3A"	ENSG00000185104	"Fas associated factor 1"	Q9UNN5	1	50437028-50960267	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	Apoptosis		"Cancer-related genes"
ELAVL4	"HUD, PNEM"	ENSG00000162374	"ELAV like RNA binding protein 4"	P26378	1	50024029-50203772	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	RNA-binding	
LELP1		ENSG00000203784	"Late cornified envelope like proline rich 1"	Q5T871	1	153203430-153205120	"Predicted intracellular proteins"			
CBX5	"HP1, HP1-ALPHA, HP1Hs-alpha"	ENSG00000094916	"Chromobox 5"	P45973	12	54230942-54280133	"Predicted intracellular proteins"	"Host-virus interaction"		
CYBB	"CGD, GP91-PHOX, NOX2"	ENSG00000165168	"Cytochrome b-245 beta chain"	P04839	X	37780018-37813461	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Electron transport, Ion transport, Transport"	"Ion channel, Oxidoreductase, Voltage-gated channel"	"Chronic granulomatous disease, Disease variant"
MAFB	KRML	ENSG00000204103	"MAF bZIP transcription factor B"	Q9Y5Q3	20	40685848-40689236	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Cancer-related genes, Disease variant, Proto-oncogene, Tumor suppressor"
MTA1		ENSG00000182979	"Metastasis associated 1"	Q13330	14	105419820-105470729	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Biological rhythms, Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Cancer-related genes"
NPC1	SLC65A1	ENSG00000141458	"NPC intracellular cholesterol transporter 1"	O15118	18	23506184-23586506	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Cholesterol metabolism, Host-virus interaction, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport"	"Host cell receptor for virus entry, Receptor"	"Disease variant, Niemann-Pick disease"
CSTA	"STF1, STFA"	ENSG00000121552	"Cystatin A"	P01040	3	122325248-122341969	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell adhesion"	"Protease inhibitor, Thiol protease inhibitor"	"Cancer-related genes, Ichthyosis"
SPANXA1	"CT11.1, NAP-X, SPAN-Xa, SPAN-Xb, SPANX"	ENSG00000198021	"Sperm protein associated with the nucleus, X-linked, family member A1"	Q9NS26	X	141583674-141584738	"Predicted intracellular proteins"			
SPANXA2	SPANX	ENSG00000203926	"SPANX family member A2"	Q9NS26	X	141589708-141590762	"Predicted intracellular proteins"			
ANXA1	"ANX1, LPC1"	ENSG00000135046	"Annexin A1"	P04083	9	73151865-73170393	"Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Adaptive immunity, Immunity, Inflammatory response, Innate immunity"	"Phospholipase A2 inhibitor"	"Cancer-related genes, FDA approved drug targets"
APP	"AD1, alpha-sAPP"	ENSG00000142192	"Amyloid beta precursor protein"	P05067	21	25880535-26171128	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Apoptosis, Cell adhesion, Endocytosis, Notch signaling pathway"	"Heparin-binding, Protease inhibitor, Serine protease inhibitor"	"Alzheimer disease, Amyloidosis, Disease variant, FDA approved drug targets, Neurodegeneration"
ATRAID	"APR3, C2orf28, HSPC013, p18"	ENSG00000138085	"All-trans retinoic acid induced differentiation factor"	Q6UW56	2	27212041-27217178	"Predicted intracellular proteins, Predicted membrane proteins"	Differentiation		
BNIP2	"BNIP-2, Nip2"	ENSG00000140299	"BCL2 interacting protein 2"	Q12982	15	59659146-59689339	"Predicted intracellular proteins"	Apoptosis		
IGF2R	"CD222, CI-M6PR, CI-MPR, CIMPR, M6P-R, MPR1, MPR300, MPRI"	ENSG00000197081	"Insulin like growth factor 2 receptor"	P11717	6	159969082-160113507	"Cancer-related genes, CD markers, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Receptor	"Cancer-related genes"
NELL1	"FLJ45906, IDH3GL"	ENSG00000165973	"Neural EGFL like 1"	Q92832	11	20669551-21575686	"Predicted secreted proteins"	Differentiation		
NFE2L3	Nrf3	ENSG00000050344	"NFE2 like bZIP transcription factor 3"	Q9Y4A8	7	26152198-26187137	"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	
PCYT1A	"CCTalpha, CT, CTPCT, PCYT1"	ENSG00000161217	"Phosphate cytidylyltransferase 1A, choline"	P49585	3	196214222-196287957	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Nucleotidyltransferase, Transferase"	"Cone-rod dystrophy, Congenital generalized lipodystrophy, Diabetes mellitus, Disease variant, Dwarfism"
PLA2G4A	"cPLA2-alpha, PLA2G4"	ENSG00000116711	"Phospholipase A2 group IVA"	P47712	1	186828949-186988981	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Glycerol metabolism, Leukotriene biosynthesis, Lipid biosynthesis, Lipid degradation, Lipid metabolism, Phospholipid degradation, Phospholipid metabolism, Prostaglandin biosynthesis, Prostaglandin metabolism"	Hydrolase	"Disease variant"
PTGER3	"EP3, lnc003875"	ENSG00000050628	"Prostaglandin E receptor 3"	P43115	1	70852353-71047816	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
PTGES	"MGST-IV, MGST1-L1, MGST1L1, PIG12, TP53I12"	ENSG00000148344	"Prostaglandin E synthase"	O14684	9	129738331-129753042	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Prostaglandin biosynthesis, Prostaglandin metabolism"	"Isomerase, Oxidoreductase, Transferase"	
RAB40B	"RAR, SEC4L"	ENSG00000141542	"RAB40B, member RAS oncogene family"	Q12829	17	82654973-82698698	"Predicted intracellular proteins"	"Ubl conjugation pathway"	Hydrolase	
ANXA11	ANX11	ENSG00000122359	"Annexin A11"	P50995	10	80150889-80205572	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Cell cycle, Cell division"		"Amyotrophic lateral sclerosis, Cancer-related genes, Disease variant, Neurodegeneration"
